MSB_5,U6_333,GWM_3,GAR_05,U6_305,U8_1045,MPG_53,Poststrasse,U6_310,MPG_40,MPG_26,MPG_42,34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469.0202917,471.4882083,471.2464167,473.9392083,476.087125,477.09075,477.1692917,478.2484583,478.4858333,478.733375,478.4832917,479.1806667,480.8005417
468.9952083,471.463,471.2235417,473.9381667,476.0710417,477.0718333,477.1582083,478.224875,478.44475,478.7212083,478.478375,479.1764583,480.795125
468.9721667,471.4499167,471.207375,473.92725,476.0554583,477.0527083,477.1444167,478.2049583,478.4087917,478.7077917,478.4704167,479.1682083,480.7860833
468.9692083,471.46775,471.2375833,473.9233333,476.069375,477.064375,477.1498333,478.211375,478.427875,478.7117917,478.4703333,479.1589583,480.776375
468.960875,471.462375,471.2245417,473.916125,476.0532917,477.0486667,477.143875,478.2019167,478.4057083,478.6979167,478.4625,479.1504583,480.7687917
468.9519583,471.4471667,471.209375,473.9034167,476.0394583,477.031,477.1310833,478.1865833,478.3745,478.6821667,478.451875,479.1411667,480.758625
468.9419167,471.4330417,471.1937083,473.8885,476.0287917,477.0139583,477.117625,478.1734167,478.34925,478.6677917,478.4400833,479.1309583,480.7479167
468.9318333,471.425625,471.1766667,473.874375,476.021375,476.9991667,477.106,478.163125,478.3322917,478.6552917,478.428125,479.119,480.735625
468.9245417,471.4246667,471.1689583,473.862625,476.0152917,476.98475,477.094125,478.1550833,478.318125,478.6426667,478.415875,479.1065417,480.7225417
468.9234167,471.433,471.1721667,473.8577917,476.0172917,476.9802917,477.0870417,478.155375,478.3177917,478.634875,478.4072917,479.095,480.7100833
468.92,471.4372917,471.160375,473.85425,476.0077083,476.9662083,477.076125,478.1489167,478.3047083,478.622125,478.3977917,479.085875,480.6982917
468.9160417,471.4292083,471.1492083,473.847,475.9979583,476.9498333,477.0627083,478.1394583,478.2857083,478.6081667,478.3869167,479.0755833,480.6861667
468.9100417,471.4175417,471.13875,473.8386667,475.9897917,476.9342917,477.0502917,478.1302083,478.268125,478.5944167,478.37575,479.0649583,480.6735833
468.9050417,471.406125,471.1314167,473.8265,475.98325,476.9210833,477.03875,478.123375,478.2557083,478.5824583,478.3649167,479.0540833,480.6607083
468.9015833,471.402,471.1285833,473.8208333,475.987,476.9182083,477.0316667,478.1234583,478.2560417,478.5744167,478.3555833,479.0428333,480.6479583
468.9009583,471.4115,471.125375,473.8295833,475.9978333,476.9205833,477.0294583,478.1310833,478.2675,478.5687917,478.348875,479.032625,480.6369583
468.8979583,471.4060833,471.1088333,473.8282083,475.9814167,476.9055,477.0191667,478.1214167,478.2435,478.5555833,478.3383333,479.0225,480.6261667
468.8939583,471.4004167,471.1005417,473.82925,475.9729583,476.8920833,477.009,478.1110833,478.2240417,478.542625,478.327375,479.011875,480.6149583
468.8891667,471.3882917,471.0940417,473.8210833,475.964,476.8800417,476.9994583,478.101125,478.2075417,478.5305,478.3164583,479.001625,480.6035
468.8825,471.3767083,471.076125,473.8060833,475.954375,476.8675833,476.9895417,478.0919583,478.192125,478.5193333,478.3057083,478.9912083,480.59175
468.877125,471.36625,471.0704583,473.7882083,475.94575,476.857375,476.9802083,478.0840833,478.179125,478.509125,478.295625,478.981625,480.5802083
468.87425,471.3632917,471.0742083,473.7747083,475.9454583,476.8540417,476.9750833,478.0829583,478.1786667,478.5020417,478.2885417,478.9727083,480.5689167
468.869,471.3507083,471.0607083,473.7604583,475.934875,476.8427917,476.9670833,478.0758333,478.163875,478.49125,478.2807083,478.9634583,480.5592083
468.863375,471.3505417,471.05975,473.75375,475.9345,476.8381667,476.9613333,478.0748333,478.1584167,478.4829583,478.273375,478.9545,480.5494583
468.8974583,471.398625,471.1272083,473.7693333,475.9695833,476.8597083,476.9677917,478.0859167,478.17525,478.4839167,478.272,478.9466667,480.5409167
468.9862083,471.5044167,471.23375,473.8265833,476.0597917,476.9206667,477.0075833,478.138125,478.2769167,478.512125,478.28825,478.9440417,480.5383333
468.9930833,471.5012917,471.204375,473.867375,476.040125,476.925625,477.0252083,478.1450417,478.2865,478.5085417,478.2925417,478.949,480.5447917
468.9764167,471.4828333,471.1750417,473.8775,476.0171667,476.921875,477.023125,478.1348333,478.2603333,478.5035833,478.2940417,478.9565833,480.5512917
468.9600417,471.4667083,471.1545417,473.8722917,476.0034583,476.914,477.01825,478.1242083,478.23975,478.5014583,478.2922917,478.9590833,480.5545417
468.9438333,471.4458333,471.1367083,473.8594583,475.9893333,476.9005417,477.00875,478.1101667,478.2161667,478.49675,478.2892083,478.9569167,480.5543333
468.930125,471.4275417,471.1225,473.8439167,475.9770833,476.8860417,476.9999167,478.0969167,478.195875,478.4905833,478.2858333,478.9528333,480.5495
468.9197917,471.4200417,471.1207083,473.8292083,475.970375,476.8760833,476.9933333,478.0881667,478.182125,478.486125,478.2815417,478.9477917,480.5434167
468.919375,471.4319583,471.1279167,473.8272917,475.973875,476.87225,476.9904167,478.0864583,478.1821667,478.4835,478.2770833,478.9422917,480.5376667
468.9168333,471.4288333,471.115375,473.818375,475.9652083,476.8629167,476.9845,478.0787083,478.1707083,478.476875,478.2695833,478.9359583,480.5319583
468.9107083,471.4150833,471.102375,473.8041667,475.9550833,476.8518333,476.9770833,478.0698333,478.15625,478.4687917,478.26075,478.9290417,480.5252083
468.9030417,471.402625,471.08925,473.7917083,475.9455,476.8409167,476.9685,478.06125,478.1425,478.4602083,478.250875,478.9211667,480.51725
468.8944167,471.3915417,471.0749583,473.777875,475.93625,476.8305417,476.9601667,478.0530833,478.1294167,478.4512083,478.2407083,478.9124167,480.5080833
468.8875,471.3834583,471.0605417,473.7650833,475.9281667,476.8204583,476.9518333,478.045375,478.1170833,478.441875,478.2299583,478.9027917,480.4992917
